[2026-02-14 13:00:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:01:02] [WARNING] Errore calcolo metriche estese: 'timestamp'
